country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
US,1,1756684800000,3320643000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
JP,2,1756684800000,961196000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
GB,3,1756684800000,783814000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
DE,4,1756684800000,777198000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
IN,5,1756684800000,627025000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
FR,6,1756684800000,538006000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
IT,7,1756684800000,453907000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CA,8,1756684800000,401620000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
BR,9,1756684800000,380115000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SG,10,1756684800000,307481000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
ES,11,1756684800000,260100000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PL,12,1756684800000,249077000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
AU,13,1756684800000,233409000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
NL,14,1756684800000,219189000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
TW,15,1756684800000,164847000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MX,16,1756684800000,160443000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
ID,17,1756684800000,158418000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
HK,18,1756684800000,147916000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
UA,19,1756684800000,140126000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SE,20,1756684800000,121562000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PH,21,1756684800000,114840000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
AR,22,1756684800000,108492000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
FI,23,1756684800000,90896000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CH,24,1756684800000,88095000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
AT,25,1756684800000,86560000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MY,26,1756684800000,84212000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CZ,27,1756684800000,80458000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
IL,28,1756684800000,76756000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
BE,29,1756684800000,76630000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
KR,30,1756684800000,75901000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
TH,31,1756684800000,75233000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
GR,32,1756684800000,71824000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
IE,33,1756684800000,65176000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
HU,34,1756684800000,58746000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CO,35,1756684800000,56132000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
RO,36,1756684800000,55513000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CL,37,1756684800000,52612000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
NO,38,1756684800000,51589000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
ZA,39,1756684800000,47864000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PT,40,1756684800000,46244000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
DK,41,1756684800000,43900000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
RS,42,1756684800000,41521000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
NZ,43,1756684800000,39477000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
BG,44,1756684800000,35821000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PE,45,1756684800000,35542000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
HR,46,1756684800000,29027000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MA,47,1756684800000,25669000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SK,48,1756684800000,25142000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
NG,49,1756684800000,23540000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
DZ,50,1756684800000,20810000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
EC,51,1756684800000,19569000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
LT,52,1756684800000,18150000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
EE,53,1756684800000,16827000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
LV,54,1756684800000,14720000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
UY,55,1756684800000,14365000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SI,56,1756684800000,14190000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
GE,57,1756684800000,14061000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
AM,58,1756684800000,12416000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
BA,59,1756684800000,11400000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
TN,60,1756684800000,10556000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
LK,61,1756684800000,10429000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
JO,62,1756684800000,10362000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
DO,63,1756684800000,10146000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
KE,64,1756684800000,9948000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CR,65,1756684800000,9941000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
NP,66,1756684800000,9659000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PY,67,1756684800000,8962000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
GT,68,1756684800000,8489000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PR,69,1756684800000,8083000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
BO,70,1756684800000,8079000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
KG,71,1756684800000,7818000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
PA,72,1756684800000,7793000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
LU,73,1756684800000,7777000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MD,74,1756684800000,7710000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MK,75,1756684800000,7489000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
AL,76,1756684800000,7445000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CY,77,1756684800000,7273000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
QA,78,1756684800000,6658000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
KH,79,1756684800000,6017000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
GH,80,1756684800000,5711000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
IS,81,1756684800000,5339000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SV,82,1756684800000,5197000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
LB,83,1756684800000,4809000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CI,84,1756684800000,4601000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
ME,85,1756684800000,4410000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SN,86,1756684800000,3957000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
TZ,87,1756684800000,3765000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MT,88,1756684800000,3587000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MN,89,1756684800000,3583000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
LY,90,1756684800000,3457000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SC,91,1756684800000,3429000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
UG,92,1756684800000,3360000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
--,93,1756684800000,3320000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CD,94,1756684800000,3267000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
TT,95,1756684800000,3205000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
JM,96,1756684800000,3036000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
AO,97,1756684800000,2914000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MU,98,1756684800000,2653000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
CM,99,1756684800000,2615000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
XK,100,1756684800000,2462000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
RE,101,1756684800000,2336000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
BN,102,1756684800000,1863000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
ZW,103,1756684800000,1664000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
SO,104,1756684800000,1592000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
ZM,105,1756684800000,1557000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
MZ,106,1756684800000,1525000,2025-09-01T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
